model,discourse_relation,semantic_category,n_games,base_pct_of_relation_sentences,ft_pct_of_relation_sentences,delta_pp,ci_low,ci_high,ci_excludes_zero,base_relation_sentences_per_run,ft_relation_sentences_per_run
Gemma 4 2B,Contingency,Mechanical,190,1.313384484228474,1.406288346586854,0.09290386235838,-1.5217031954737281,1.668990079831503,False,125.33333333333333,141.66666666666666
Gemma 4 2B,Contingency,Testimony,190,9.865899403239558,11.546313038850352,1.680413635610794,-2.1682817561067904,5.535838959859157,False,125.33333333333333,141.66666666666666
Gemma 4 2B,Contingency,SocialJudgment,190,18.61440750213129,17.514534678713783,-1.0998728234175061,-6.198123551762996,4.014168387625339,False,125.33333333333333,141.66666666666666
Gemma 4 2B,Contingency,Behavioral,190,4.832907075873828,2.354345264793026,-2.4785618110808016,-5.097468159664201,0.07216031448697538,False,125.33333333333333,141.66666666666666
Gemma 4 2B,Contingency,ClaimComparison,190,0.8248081841432224,0.2331002331002331,-0.5917079510429893,-1.514211722328994,0.0,False,125.33333333333333,141.66666666666666
Gemma 4 2B,Contingency,Payoff,190,79.64833759590793,77.62204851757092,-2.0262890783370153,-8.219298215070875,4.124564348498891,False,125.33333333333333,141.66666666666666
Gemma 4 2B,Contingency,Uncertainty,190,31.710230179028134,30.19484885156527,-1.5153813274628654,-6.961863438766842,4.072930490461744,False,125.33333333333333,141.66666666666666
Gemma 4 4B,Contingency,Mechanical,191,3.1210317460317456,4.666260904848854,1.5452291588171083,-2.4235600745535955,5.603172867834636,False,74.33333333333333,54.666666666666664
Gemma 4 4B,Contingency,Testimony,191,36.729166666666664,49.162805718757376,12.433639052090712,3.8664751915675746,21.06780154137582,True,74.33333333333333,54.666666666666664
Gemma 4 4B,Contingency,SocialJudgment,191,11.442460317460316,5.306577895917953,-6.135882421542363,-11.684285298325033,-0.6775223793991051,True,74.33333333333333,54.666666666666664
Gemma 4 4B,Contingency,Behavioral,191,13.865079365079366,11.922358718289507,-1.9427206467898586,-8.303224978437155,4.255103471890236,False,74.33333333333333,54.666666666666664
Gemma 4 4B,Contingency,ClaimComparison,191,3.8898809523809526,1.846837335055751,-2.0430436173252016,-5.403574694897912,1.357923123387006,False,74.33333333333333,54.666666666666664
Gemma 4 4B,Contingency,Payoff,191,40.214285714285715,37.675398826603065,-2.5388868876826507,-12.966379778209424,7.989722942061669,False,74.33333333333333,54.666666666666664
Gemma 4 4B,Contingency,Uncertainty,191,12.06845238095238,6.615780822371554,-5.452671558580826,-10.531150400475024,-0.37872657794344977,True,74.33333333333333,54.666666666666664
Gemma 4 31B,Contingency,Mechanical,188,45.08197251205669,40.53602768680464,-4.54594482525205,-10.731534335860163,1.5378839815742402,False,137.33333333333334,121.66666666666667
Gemma 4 31B,Contingency,Testimony,188,40.558938753345494,44.59918704852159,4.040248295176099,-2.7346942038219697,10.949871566542255,False,137.33333333333334,121.66666666666667
Gemma 4 31B,Contingency,SocialJudgment,188,4.628990341724525,6.415441432652777,1.786451090928252,-0.9670179899843543,4.781302168421274,False,137.33333333333334,121.66666666666667
Gemma 4 31B,Contingency,Behavioral,188,20.157221726594518,21.76532181264952,1.6081000860550034,-3.8204625869216606,6.876896978480154,False,137.33333333333334,121.66666666666667
Gemma 4 31B,Contingency,ClaimComparison,188,16.218662322382116,20.776289689452536,4.55762736707042,-0.8508621198213138,10.082497992126783,False,137.33333333333334,121.66666666666667
Gemma 4 31B,Contingency,Payoff,188,22.120747837554788,13.747557661487003,-8.373190176067785,-13.148434948204963,-3.602656603983077,True,137.33333333333334,121.66666666666667
Gemma 4 31B,Contingency,Uncertainty,188,2.469971425985545,2.678187350474996,0.2082159244894508,-1.9874878193919634,2.5720779951914188,False,137.33333333333334,121.66666666666667
