model,category,is_substantive,n_games,base_per_100_sentences,ft_per_100_sentences,delta,ci_low,ci_high,ci_excludes_zero,n_replicates,seed
Gemma 4 2B,Mechanical,True,190,1.001154359737283,1.0516346803133352,0.05048032057605223,-0.7095018337089612,0.8322262431549459,False,10000,20260826
Gemma 4 2B,Testimony,True,190,24.632781967386332,28.850519113148753,4.21773714576242,1.855133762952093,6.613280951115614,True,10000,20260826
Gemma 4 2B,SocialJudgment,True,190,31.37558671552758,32.24000235677513,0.8644156412475503,-1.8381072404063983,3.5583996509484823,False,10000,20260826
Gemma 4 2B,Behavioral,True,190,6.395136864961061,4.212929306553814,-2.1822075584072467,-3.7352866924173522,-0.6729875721043922,True,10000,20260826
Gemma 4 2B,ClaimComparison,True,190,2.833487310840279,2.494392649388816,-0.33909466145146316,-1.348704518336932,0.623846919609039,False,10000,20260826
Gemma 4 2B,Payoff,True,190,32.9622826383844,32.51554503675684,-0.4467376016275608,-2.4353354864564385,1.5941760301632317,False,10000,20260826
Gemma 4 2B,Uncertainty,True,190,32.53623573589885,30.926534588080997,-1.6097011478178516,-4.916626371428092,1.7182676881356653,False,10000,20260826
Gemma 4 2B,Other,False,190,0.16611295681063123,0.1662130719399363,0.00010011512930507838,-0.2768513228750548,0.27614984918091934,False,10000,20260826
Gemma 4 31B,Mechanical,True,188,18.78899644790503,17.035021003138578,-1.7539754447664535,-3.72177259308717,0.23699257373925178,False,10000,20260826
Gemma 4 31B,Testimony,True,188,67.20676884976751,70.76791251892676,3.56114366915925,0.7974984957159578,6.394092491066811,True,10000,20260826
Gemma 4 31B,SocialJudgment,True,188,11.196968046884479,12.148569923771623,0.9516018768871444,-0.9725690419218794,2.932489532119904,False,10000,20260826
Gemma 4 31B,Behavioral,True,188,26.12338050167708,29.230158538495434,3.106778036818355,0.7501989092716465,5.588332457273608,True,10000,20260826
Gemma 4 31B,ClaimComparison,True,188,24.240532131025123,26.577582701617867,2.3370505705927442,0.0812137485474044,4.606806850588512,True,10000,20260826
Gemma 4 31B,Payoff,True,188,8.560365111226611,5.813982840750661,-2.7463822704759497,-4.2422571372096884,-1.2935486337825137,True,10000,20260826
Gemma 4 31B,Uncertainty,True,188,3.308744099929562,2.8033911294264917,-0.5053529705030702,-1.53353702231088,0.5020848721774492,False,10000,20260826
Gemma 4 31B,Other,False,188,0.9175251342486245,0.46786658434395273,-0.44965854990467174,-1.0664590616342813,0.09979426589375723,False,10000,20260826
Gemma 4 4B,Mechanical,True,191,2.058298911143621,2.1574593748533424,0.0991604637097212,-0.6693582176738355,0.8495774252019022,False,10000,20260826
Gemma 4 4B,Testimony,True,191,32.741270614925334,31.530867435240282,-1.210403179685052,-3.6637404219091643,1.23090899144639,False,10000,20260826
Gemma 4 4B,SocialJudgment,True,191,31.275807671777315,28.953018173159844,-2.322789498617471,-5.303524400426688,0.7206608466240672,False,10000,20260826
Gemma 4 4B,Behavioral,True,191,29.549039460432365,34.39084894464579,4.8418094842134245,1.2648027237171329,8.410464400494831,True,10000,20260826
Gemma 4 4B,ClaimComparison,True,191,7.308336694838037,6.56536094870962,-0.7429757461284163,-2.3965698855011888,0.9632751865322436,False,10000,20260826
Gemma 4 4B,Payoff,True,191,21.475724391376062,25.81317408674288,4.337449695366818,2.5721148412115924,6.05492319114839,True,10000,20260826
Gemma 4 4B,Uncertainty,True,191,15.130799774768022,7.232701229168882,-7.89809854559914,-9.815305691472282,-5.970634802676773,True,10000,20260826
Gemma 4 4B,Other,False,191,0.13443218066539453,0.22522082892848125,0.09078864826308672,-0.12758492098722152,0.3145508377269882,False,10000,20260826
