model,category,is_substantive,n_games,n_justifications_per_condition,base_pct,ft_pct,delta_pp,ci_low,ci_high,ci_excludes_zero,n_replicates,seed
Gemma 4 2B,Mechanical,True,190,570,2.982456140350877,2.982456140350877,0.0,-2.105263157894737,2.105263157894737,False,10000,20260826
Gemma 4 2B,Testimony,True,190,570,53.68421052631579,59.122807017543856,5.438596491228065,1.0526315789473717,9.824561403508763,True,10000,20260826
Gemma 4 2B,SocialJudgment,True,190,570,59.29824561403508,58.42105263157894,-0.8771929824561431,-5.263157894736848,3.508771929824561,False,10000,20260826
Gemma 4 2B,Behavioral,True,190,570,16.666666666666664,12.631578947368421,-4.035087719298244,-7.894736842105264,-0.1754385964912272,True,10000,20260826
Gemma 4 2B,ClaimComparison,True,190,570,7.894736842105263,7.368421052631578,-0.5263157894736845,-3.333333333333334,2.105263157894738,False,10000,20260826
Gemma 4 2B,Payoff,True,190,570,90.87719298245615,87.36842105263159,-3.508771929824561,-7.368421052631591,0.35087719298245723,False,10000,20260826
Gemma 4 2B,Uncertainty,True,190,570,59.64912280701754,54.21052631578947,-5.438596491228065,-10.526315789473678,-0.5263157894736747,True,10000,20260826
Gemma 4 2B,Other,False,190,570,0.5263157894736842,0.5263157894736842,0.0,-0.8771929824561403,0.8771929824561403,False,10000,20260826
Gemma 4 31B,Mechanical,True,188,564,53.36879432624113,49.46808510638298,-3.9007092198581503,-9.042553191489361,1.241134751773043,False,10000,20260826
Gemma 4 31B,Testimony,True,188,564,98.22695035460993,99.11347517730496,0.8865248226950451,-0.35460992907802025,2.3049645390070927,False,10000,20260826
Gemma 4 31B,SocialJudgment,True,188,564,30.141843971631204,33.33333333333333,3.1914893617021267,-1.595744680851069,8.156028368794328,False,10000,20260826
Gemma 4 31B,Behavioral,True,188,564,61.17021276595745,66.48936170212765,5.319148936170204,0.886524822695034,9.9290780141844,True,10000,20260826
Gemma 4 31B,ClaimComparison,True,188,564,56.73758865248227,59.751773049645394,3.014184397163122,-1.4184397163120588,7.624113475177308,False,10000,20260826
Gemma 4 31B,Payoff,True,188,564,27.30496453900709,18.085106382978726,-9.219858156028367,-13.829787234042554,-4.609929078014188,True,10000,20260826
Gemma 4 31B,Uncertainty,True,188,564,10.815602836879433,9.397163120567376,-1.4184397163120575,-4.609929078014187,1.7730496453900721,False,10000,20260826
Gemma 4 31B,Other,False,188,564,2.8368794326241136,1.5957446808510638,-1.2411347517730498,-3.191489361702128,0.3546099290780147,False,10000,20260826
Gemma 4 4B,Mechanical,True,191,573,6.980802792321117,7.853403141361256,0.8726003490401396,-1.570680628272251,3.315881326352531,False,10000,20260826
Gemma 4 4B,Testimony,True,191,573,75.39267015706805,72.07678883071553,-3.315881326352521,-7.853403141361248,1.0471204188481797,False,10000,20260826
Gemma 4 4B,SocialJudgment,True,191,573,56.195462478185,55.671902268760896,-0.523560209424101,-5.061082024432806,4.188481675392669,False,10000,20260826
Gemma 4 4B,Behavioral,True,191,573,58.1151832460733,65.44502617801048,7.329842931937181,2.2687609075043635,12.565445026178,True,10000,20260826
Gemma 4 4B,ClaimComparison,True,191,573,18.32460732984293,16.404886561954623,-1.9197207678883084,-5.584642233856895,1.7452006980802792,False,10000,20260826
Gemma 4 4B,Payoff,True,191,573,71.90226876090749,82.5479930191972,10.645724258289702,5.584642233856895,15.53664921465963,True,10000,20260826
Gemma 4 4B,Uncertainty,True,191,573,42.582897033158815,22.164048865619545,-20.418848167539267,-25.30541012216405,-15.357766143106458,True,10000,20260826
Gemma 4 4B,Other,False,191,573,0.5235602094240839,0.8726003490401398,0.3490401396160559,-0.5235602094240835,1.2216404886561953,False,10000,20260826
