model,feature,column,beta,odds_ratio,selected_penalty
2B,accusation,accusation_rate,0.0007632395281340923,1.000763530869539,10.0
2B,defense,defense_rate,0.28632369905203786,1.3315233983624069,10.0
2B,interrogation,interrogation_rate,0.04923317627397926,1.0504652657613474,10.0
2B,evidence,evidence_rate,0.004677571399666494,1.004688528314021,10.0
2B,identity_declaration,identity_declaration_rate,-0.1099138706143026,0.8959112962631537,10.0
2B,call_for_action,call_for_action_rate,-0.039523226552839866,0.9612476272625059,10.0
2B,werewolf_accusations_made,werewolf_accusations_made_rate,0.19069359580321585,1.210088619040446,10.0
2B,deception_accusations_made,deception_accusations_made_rate,-0.010191065566379998,0.9898606873871921,10.0
2B,werewolf_accusations_received,werewolf_accusations_received_rate,0.7473694468598389,2.11143845377163,10.0
2B,deception_accusations_received,deception_accusations_received_rate,0.02272974731917912,1.0229900363862536,10.0
2B,claims_werewolf,claims_werewolf_rate,0.49142792706932126,1.6346487133904781,10.0
2B,claims_tanner,claims_tanner_rate,0.05617252018659456,1.05778015642601,10.0
2B,claims_night_action_role,claims_night_action_role_rate,-0.06312762610398868,0.9388236476383494,10.0
4B,accusation,accusation_rate,0.018442146705155572,1.0186132533320136,10.0
4B,defense,defense_rate,0.1597291124340248,1.1731930245405913,10.0
4B,interrogation,interrogation_rate,-0.028052866441504707,0.9723369614473546,10.0
4B,evidence,evidence_rate,-0.08861392487534073,0.9151988408827858,10.0
4B,identity_declaration,identity_declaration_rate,-0.13724909320742185,0.8717530513212138,10.0
4B,call_for_action,call_for_action_rate,-0.03739216246387717,0.9632982918342996,10.0
4B,werewolf_accusations_made,werewolf_accusations_made_rate,0.1804491394050393,1.1977552013891237,10.0
4B,deception_accusations_made,deception_accusations_made_rate,-0.21440247409704688,0.8070235135909707,10.0
4B,werewolf_accusations_received,werewolf_accusations_received_rate,0.6238677164887594,1.8661317704950615,10.0
4B,deception_accusations_received,deception_accusations_received_rate,0.24708217218813264,1.2802843122193437,10.0
4B,claims_werewolf,claims_werewolf_rate,0.9679167901805289,2.6324547876075735,10.0
4B,claims_tanner,claims_tanner_rate,0.03885196511137953,1.0396165727347935,10.0
4B,claims_night_action_role,claims_night_action_role_rate,0.030664758653222334,1.0311397652531988,10.0
31B,accusation,accusation_rate,-0.0027722363141911574,0.9972316027844508,100.0
31B,defense,defense_rate,0.0912223799467537,1.0955125982056253,100.0
31B,interrogation,interrogation_rate,-0.032177304357030874,0.968334876864873,100.0
31B,evidence,evidence_rate,-0.052645491433981145,0.9487162809220636,100.0
31B,identity_declaration,identity_declaration_rate,-0.0423899817064583,0.9584959118049139,100.0
31B,call_for_action,call_for_action_rate,-0.027023837849053153,0.9733380389625378,100.0
31B,werewolf_accusations_made,werewolf_accusations_made_rate,0.04571138454004544,1.0467722527000818,100.0
31B,deception_accusations_made,deception_accusations_made_rate,-0.026821842907784856,0.9735346681809374,100.0
31B,werewolf_accusations_received,werewolf_accusations_received_rate,0.4973746124203973,1.6443984154220803,100.0
31B,deception_accusations_received,deception_accusations_received_rate,0.20086985997038087,1.2224656697523075,100.0
31B,claims_werewolf,claims_werewolf_rate,0.14824108001715866,1.1597924654498308,100.0
31B,claims_tanner,claims_tanner_rate,0.022305208988567977,1.0225558300791064,100.0
31B,claims_night_action_role,claims_night_action_role_rate,-0.016902851601640796,0.9832392001087414,100.0
