decoding_group,metric,semantic_category,discourse_relation,model_a,model_b,value_a,value_b,difference,ci_low,ci_high,ci_excludes_zero,n_justifications_with_category_a,n_justifications_with_category_b,low_support_diagnostic,n_valid_replicates,n_games,n_replicates,seed
Stochastic,relations_per_100_words,Mechanical,Comparison,Gemma 4 2B,Gemma 4 4B,0.8860537081942444,1.147293148830319,-0.2612394406360746,-0.6785875460438251,0.13668165259201012,False,17,40,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Comparison,Gemma 4 2B,Gemma 4 31B,0.8860537081942444,0.5015592267850031,0.38449448140924136,0.010030766922170661,0.8021144319416699,True,17,303,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Comparison,Gemma 4 4B,Gemma 4 31B,1.147293148830319,0.5015592267850031,0.645733922045316,0.33701514229425006,0.9378047317474544,True,40,303,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Contingency,Gemma 4 2B,Gemma 4 4B,1.563644104636966,0.7177084506645647,0.8459356539724013,0.3870324881876059,1.4113974040693236,True,17,40,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Contingency,Gemma 4 2B,Gemma 4 31B,1.563644104636966,1.3803169063732756,0.18332719826369037,-0.2913681216109875,0.6938175943567668,False,17,303,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Contingency,Gemma 4 4B,Gemma 4 31B,0.7177084506645647,1.3803169063732756,-0.662608455708711,-0.961517436767839,-0.3337175714631921,True,40,303,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Expansion,Gemma 4 2B,Gemma 4 4B,1.3045767471240126,0.7198565390176065,0.5847202081064061,-0.2579509811934347,1.2483150262320801,False,17,40,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Expansion,Gemma 4 2B,Gemma 4 31B,1.3045767471240126,1.0116650637827103,0.29291168334130235,-0.3702413461532334,0.8174756133078208,False,17,303,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Expansion,Gemma 4 4B,Gemma 4 31B,0.7198565390176065,1.0116650637827103,-0.29180852476510377,-0.6974612688246632,0.18030158809208985,False,40,303,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Temporal,Gemma 4 2B,Gemma 4 4B,0.2860902564825585,0.3346852133525548,-0.04859495686999632,-0.41043150154928165,0.37171738440933466,False,17,40,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Temporal,Gemma 4 2B,Gemma 4 31B,0.2860902564825585,0.6472409114829374,-0.3611506550003789,-0.6624908959706034,0.016363113694207457,False,17,303,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Temporal,Gemma 4 4B,Gemma 4 31B,0.3346852133525548,0.6472409114829374,-0.3125556981303826,-0.525260745322631,-0.07665994085122131,True,40,303,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Any explicit,Gemma 4 2B,Gemma 4 4B,4.040364816437782,2.9195433518650447,1.120821464572737,-0.006269572805174605,2.1922883532323376,False,17,40,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Any explicit,Gemma 4 2B,Gemma 4 31B,4.040364816437782,3.540782108423926,0.49958270801385574,-0.5144171096483666,1.4552880011233822,False,17,303,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Mechanical,Any explicit,Gemma 4 4B,Gemma 4 31B,2.9195433518650447,3.540782108423926,-0.6212387565588813,-1.1178661279026891,-0.09596627444861305,True,40,303,True,10000,191,10000,20260826
Stochastic,relations_per_100_words,Testimony,Comparison,Gemma 4 2B,Gemma 4 4B,0.9428681364394483,1.2382743813369952,-0.29540624489754685,-0.4242163225922897,-0.16614110532084983,True,306,432,False,10000,191,10000,20260826
Stochastic,relations_per_100_words,Testimony,Comparison,Gemma 4 2B,Gemma 4 31B,0.9428681364394483,0.6956823424538321,0.24718579398561624,0.10542374516798152,0.3868748719571153,True,306,563,False,10000,191,10000,20260826
Stochastic,relations_per_100_words,Testimony,Comparison,Gemma 4 4B,Gemma 4 31B,1.2382743813369952,0.6956823424538321,0.5425920388831631,0.42359519200202594,0.662107097236848,True,432,563,False,10000,191,10000,20260826
Stochastic,relations_per_100_words,Testimony,Contingency,Gemma 4 2B,Gemma 4 4B,0.9643439197515392,0.5184862256444457,0.4458576941070935,0.3112164888202624,0.5852981608851363,True,306,432,False,10000,191,10000,20260826
Stochastic,relations_per_100_words,Testimony,Contingency,Gemma 4 2B,Gemma 4 31B,0.9643439197515392,1.054822878795192,-0.09047895904365288,-0.23555334133038208,0.056669243629584067,False,306,563,False,10000,191,10000,20260826
Stochastic,relations_per_100_words,Testimony,Contingency,Gemma 4 4B,Gemma 4 31B,0.5184862256444457,1.054822878795192,-0.5363366531507464,-0.6624051131198714,-0.41059594542651917,True,432,563,False,10000,191,10000,20260826
Stochastic,relations_per_100_words,Testimony,Expansion,Gemma 4 2B,Gemma 4 4B,0.9021289175901787,0.6806634369631807,0.221465480626998,0.07213468194813179,0.3741645310055911,True,306,432,False,10000,191,10000,20260826
Stochastic,relations_per_100_words,Testimony,Expansion,Gemma 4 2B,Gemma 4 31B,0.9021289175901787,1.021824045131807,-0.11969512754162837,-0.2953342390747849,0.054986977481554816,False,306,563,False,10000,191,10000,20260826
Stochastic,relations_per_100_words,Testimony,Expansion,Gemma 4 4B,Gemma 4 31B,0.6806634369631807,1.021824045131807,-0.34116060816862637,-0.48055738732057207,-0.20375738253998021,True,432,563,False,10000,191,10000,20260826
